,Vendor,Product_name,Date,Week,Year,Point,Vote,Title,Review
1011,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!," wow.... awesome dude
Mobile is really killer....  "
1012,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,The Bezel Less Beauty!!," To be frank, K20Pro is a previlige to Hold in Hands.
it's Blazing Fast, Snappy, Top Rated Camera Sensor. Top Notch Display.
Words are not enough to Describe.
Undoubtedly #the_Hype_is_Real!!  "
1013,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, Awesome  
1014,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,Awesome phone, Awesome phone with best specifications and economically priced.  
1015,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,pricey but satisfied , perfect mobile for money I spent but their's a large price difference between China variant and Indian variant.  
1016,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!," Design is excellent, feels good for handling.  "
1017,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, Nice phone.  
1018,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, wow  
1019,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!," Worth buy flagship smartphone

Gorgeous display  "
1020,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,love you, love the way you  
1021,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, Class.....  
1022,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,Awesome design and great performance," snapdragon 855.. awesome performance and good design. 
redmi also with the pop up. Awesome.  "
1023,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, best phone ever i used  
1024,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!," 1k 20 is  real pro
2 osm camera 
3 super 855 profomance
4 good display  "
1025,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, nice design  
1026,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, This is a beast of a phone. Fastest processor amongst Android phones. Full screen display takes the viewing experience to another level. Stereo speakers quality is too good. Can't ask for a better phone.  
