Product_name,Week1,Week2,Week3,Week4,Week5,Weight_sum
"Nokia 3.1 Plus (Charcoal Grey, 32 GB)(3 GB RAM)",10,10,7,11,2,36.75
"Nokia 3.2 (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Nokia 3.2 (Black, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Nokia 3.2 (Steel, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Nokia 5 (Tempered Blue, 16 GB)(3 GB RAM)",0,2,2,0,0,3.7
"Nokia 5.1 (Black, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Nokia 6.1 (Gold, Blue, 32 GB)(4 GB RAM)",92,173,124,142,64,539.85
"Nokia 9 (Blue, 128 GB)(6 GB RAM)",0,0,0,0,0,0
"Nubia Red Magic 3 (Camouflage, 256 GB)(12 GB RAM)",0,0,0,0,0,0
"obi Pelican (White, 8 GB)(2 GB RAM)",0,0,0,0,0,0
"OPPO A3s (Purple, 32 GB)(3 GB RAM)",2,12,7,12,7,35.5
"OPPO A3s (Purple, 64 GB)(4 GB RAM)",35,44,33,46,57,191.2
"OPPO A3s (Red, 16 GB)(2 GB RAM)",13,37,9,9,18,78.3
"OPPO A5 (Diamond Red, 32 GB)(4 GB RAM)",0,3,8,7,5,20
"OPPO A5s (Red, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"OPPO A7 (Glaze Blue, 64 GB)(3 GB RAM)",0,0,0,0,0,0
"OPPO A7 (Glaze Blue, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"OPPO A83 (2018 Edition) (Blue, 64 GB)(4 GB RAM)",1,1,1,1,2,5.3
"OPPO A83 (Black, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"OPPO A83 (Red, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"OPPO A9 (Marble Green, 128 GB)(4 GB RAM)",0,0,0,0,0,0
"OPPO F11 (Marble Green, 128 GB)(6 GB RAM)",17,13,3,1,2,34.5
"OPPO F1S (Grey, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"OPPO F7 (Red, 128 GB)(6 GB RAM)",0,0,0,0,0,0
"OPPO F7 (Red, 64 GB)(4 GB RAM)",0,0,2,0,1,2.6
"OPPO F9 Pro (Starry Purple, 64 GB)(6 GB RAM)",0,14,14,13,28,59.35
"Panasonic Eluga A4 (Mocha Gold, 32 GB)(3 GB RAM)",0,0,2,1,0,2.65
"Panasonic Eluga I5 (Black, 16 GB)(2 GB RAM)",0,0,1,0,1,1.7
